Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return
2016-01-01,2016,1,1,Friday,00,2016-00,430.72,436.25,427.52,434.33,36278900.0,434.33,0.0
2016-01-02,2016,1,2,Saturday,00,2016-00,434.62,436.06,431.87,433.44,30096600.0,433.44,-0.0020629897281927434
2016-01-03,2016,1,3,Sunday,01,2016-01,433.58,433.74,424.71,430.01,39633800.0,430.01,-0.00790655652199379
2016-01-04,2016,1,4,Monday,01,2016-01,430.06,434.52,429.08,433.09,38477500.0,433.09,0.007162647438718084
2016-01-05,2016,1,5,Tuesday,01,2016-01,433.07,434.18,429.68,431.96,34522600.0,431.96,-0.0026114880105212457
2016-01-06,2016,1,6,Wednesday,01,2016-01,431.86,431.86,426.34,429.11,34042500.0,429.11,-0.006609363193875617
2016-01-07,2016,1,7,Thursday,01,2016-01,430.01,458.77,429.08,458.05,87562200.0,458.05,0.06744967414278147
2016-01-08,2016,1,8,Friday,01,2016-01,457.54,462.93,447.94,453.23,56993000.0,453.23,-0.010518533255044149
2016-01-09,2016,1,9,Saturday,01,2016-01,453.38,454.64,446.89,447.61,32278000.0,447.61,-0.012397719520954253
2016-01-10,2016,1,10,Sunday,02,2016-02,448.24,448.31,440.35,447.99,35995900.0,447.99,0.0008489623562373261
2016-01-11,2016,1,11,Monday,02,2016-02,448.7,450.66,443.86,448.43,40450000.0,448.43,0.0009754921892843882
2016-01-12,2016,1,12,Tuesday,02,2016-02,448.18,448.18,435.69,435.69,115607000.0,435.69,-0.028405912064368155
2016-01-13,2016,1,13,Wednesday,02,2016-02,434.67,435.19,424.44,432.37,173888000.0,432.37,-0.007617802165628018
2016-01-14,2016,1,14,Thursday,02,2016-02,432.29,433.32,427.85,430.31,43945500.0,430.31,-0.004775996611502853
2016-01-15,2016,1,15,Friday,02,2016-02,430.26,430.26,364.33,364.33,153351008.0,364.33,-0.1533211392380016
2016-01-16,2016,1,16,Saturday,02,2016-02,365.07,390.56,354.91,387.54,120352000.0,387.54,0.06369213021713627
2016-01-17,2016,1,17,Sunday,03,2016-03,387.15,390.96,380.09,382.3,45319600.0,382.3,-0.01351358161965166
2016-01-18,2016,1,18,Monday,03,2016-03,381.73,388.1,376.67,387.17,54403900.0,387.17,0.012736072796625919
2016-01-19,2016,1,19,Tuesday,03,2016-03,387.03,387.73,378.97,380.15,46819800.0,380.15,-0.018129113109683792
2016-01-20,2016,1,20,Wednesday,03,2016-03,379.74,425.27,376.6,420.23,121720000.0,420.23,0.10543504141779825
