Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return
2015-12-31,2015,12,31,Thursday,52,2015-52,17.97,20.39,17.51,18.21,0,18.21,0.0
2016-01-04,2016,1,4,Monday,01,2016-01,22.48,23.36,20.67,20.7,0,20.7,0.13673815506064346
2016-01-05,2016,1,5,Tuesday,01,2016-01,20.75,21.06,19.25,19.34,0,19.34,-0.06570051015584788
2016-01-06,2016,1,6,Wednesday,01,2016-01,21.67,21.86,19.8,20.59,0,20.59,0.06463288470205808
2016-01-07,2016,1,7,Thursday,01,2016-01,23.22,25.86,22.4,24.99,0,24.99,0.21369594880635545
2016-01-08,2016,1,8,Friday,01,2016-01,22.96,27.08,22.48,27.01,0,27.01,0.08083235199138561
2016-01-11,2016,1,11,Monday,02,2016-02,25.58,27.39,23.83,24.3,0,24.3,-0.1003332457925521
2016-01-12,2016,1,12,Tuesday,02,2016-02,22.97,23.93,21.91,22.47,0,22.47,-0.07530864120008185
2016-01-13,2016,1,13,Wednesday,02,2016-02,21.72,26.11,21.44,25.22,0,25.22,0.12238540649912721
2016-01-14,2016,1,14,Thursday,02,2016-02,24.75,26.28,23.07,23.95,0,23.95,-0.05035680352864047
2016-01-15,2016,1,15,Friday,02,2016-02,28.96,30.95,26.67,27.02,0,27.02,0.12818369924959572
2016-01-19,2016,1,19,Tuesday,03,2016-03,25.4,27.59,25.21,26.05,0,26.05,-0.0358993783963617
2016-01-20,2016,1,20,Wednesday,03,2016-03,27.78,32.09,26.59,27.59,0,27.59,0.05911711940998576
2016-01-21,2016,1,21,Thursday,03,2016-03,27.79,28.43,25.01,26.69,0,26.69,-0.03262050067244582
2016-01-22,2016,1,22,Friday,03,2016-03,24.21,24.55,22.22,22.34,0,22.34,-0.16298240143978016
2016-01-25,2016,1,25,Monday,04,2016-04,23.3,24.31,22.38,24.15,0,24.15,0.08102056640911481
2016-01-26,2016,1,26,Tuesday,04,2016-04,23.75,24.02,22.33,22.5,0,22.5,-0.06832296664983095
